feature,iv,strength
net_risk_score,4.963,Strong
stress_score_continuous,3.4109,Strong
vulnerability_signals,2.9226,Strong
employment_type,2.88,Strong
protective_signals,2.0094,Strong
borrower_segment,1.9508,Strong
payment_discipline_score,1.9105,Strong
effective_disposable_income,1.6929,Strong
alternative_credit_signal,1.6426,Strong
income_consistency_score,1.3869,Strong
financial_stress_index,1.3625,Strong
loan_type,1.3499,Strong
income_after_obligations,1.3115,Strong
monthly_net_income_inr,1.2417,Strong
behavioral_deterioration,1.1613,Strong
previous_loan_default_flag,1.0039,Strong
multi_account_health,0.9867,Strong
high_risk_loan_type,0.9031,Strong
cibil_bureau_score,0.8356,Strong
age_oldest_credit_account_months,0.8166,Strong
days_past_due_dpd,0.7695,Strong
dpd_vs_segment,0.7476,Strong
stress_stage,0.7303,Strong
loan_amount_requested_inr,0.6102,Strong
txn_frequency_monthly_avg,0.5742,Strong
debt_to_income_ratio,0.5717,Strong
revolving_credit_balance_inr,0.5681,Strong
credit_utilisation_ratio,0.5575,Strong
digital_engagement_score,0.5334,Strong
utility_payment_score,0.5274,Strong
estimated_lgd_inr,0.5017,Strong
credit_history_for_age,0.4924,Strong
num_open_credit_lines,0.4914,Strong
account_diversification,0.4455,Strong
is_urban,0.3509,Strong
recovery_strength,0.2862,Medium
concentrated_risk,0.2702,Medium
outperforms_segment,0.2578,Medium
leverage_severity,0.2332,Medium
expected_loss_inr,0.2267,Medium
num_late_payments_12m,0.1776,Medium
is_microfinance,0.1368,Medium
young_but_responsible,0.1091,Medium
payment_to_income_ratio_pti,0.1081,Medium
emi_stress,0.08,Weak
borrower_age,0.0725,Weak
contradiction_count,0.0666,Weak
loan_to_value_ratio_ltv,0.0647,Weak
emi_severe_stress,0.0626,Weak
state,0.046,Weak
bnpl_income_risk,0.0435,Weak
is_bnpl,0.0429,Weak
good_cibil_high_dpd,0.0297,Weak
good_borrower_risky_loan,0.026,Weak
is_overleveraged,0.0222,Weak
num_hard_enquiries_12m,0.0208,Weak
income_vs_segment,0.0127,Negligible
utility_loan_mismatch,0.0077,Negligible
ltv_missing,0.0076,Negligible
high_income_high_dti,0.0075,Negligible
reformed_borrower,0.0071,Negligible
min_payment_trap_risk,0.0059,Negligible
credit_dependency,0.0013,Negligible
responsible_rural,0.0011,Negligible
responsible_gig_worker,0.0011,Negligible
cibil_missing,0.0009,Negligible
is_new_to_credit,0.0009,Negligible
bad_cibil_clean_now,0.0008,Negligible
loan_affordability_ratio,0.0004,Negligible
